Company Name,Symbol,% Funding provided under Pay Later (MTF)
"DCM SHRIRAM LIMITED","DCMSHRIRAM","60"
"DCM SHRIRAM IND LTD","DCMSRIND","60"
"DCW LTD","DCW","55"
"DCX SYSTEMS LIMITED","DCXINDIA","50"
"DDEV PLASTIKS IND LTD","DDEVPLSTIK","50"
"DEEPAK FERTILIZERS & PETR","DEEPAKFERT","50"
"DEEPAK NITRITE LTD","DEEPAKNTR","65"
"DEEP INDUSTRIES LIMITED","DEEPINDS","55"
"DELHIVERY LIMITED","DELHIVERY","65"
"DELTA CORP LIMITED","DELTACORP","60"
"DEN NETWORKS LTD","DEN","50"
"DEVYANI INTERNATIONAL LTD","DEVYANI","65"
"DHAMPUR SUGAR MILLS LTD.","DHAMPURSUG","60"
"DHANI SERVICES LIMITED","DHANI","50"
"DHANUKA AGRITECH LTD","DHANUKA","55"
"DIAMOND POWER INFRA LTD","DIACABS","50"
"PRATAAP SNACKS LIMITED","DIAMONDYD","60"
"DIVI S LABORATORIES LTD","DIVISLAB","70"
"DIXON TECHNO (INDIA) LTD","DIXON","55"
"DLF LIMITED","DLF","65"
"D-LINK INDIA LTD","DLINKINDIA","50"
"AVENUE SUPERMARTS LIMITED","DMART","65"
"DODLA DAIRY LIMITED","DODLA","55"
"DOLAT ALGOTECH LIMITED","DOLATALGO","50"
"DOLLAR INDUSTRIES LIMITED","DOLLAR","50"
"DOMS INDUSTRIES LIMITED","DOMS","65"
"D. P. ABHUSHAN LIMITED","DPABHUSHAN","40"
"DR. REDDY S LABORATORIES","DRREDDY","70"
"DWARIKESH SUGAR IND LTD","DWARKESH","60"
"DYNAMATIC TECHNOLOGIES","DYNAMATECH","60"
"EASY TRIP PLANNERS LTD","EASEMYTRIP","55"
"ECLERX SERVICES LTD","ECLERX","45"
"EDELWEISS FIN SERV LTD","EDELWEISS","50"
"EICHER MOTORS LTD","EICHERMOT","70"
"EID PARRY INDIA LTD","EIDPARRY","65"
"ENVIRO INFRA ENGINEERS L","EIEL","55"
"EIH LIMITED","EIHOTEL","60"
"EVEREST KANTO CYLINDERLTD","EKC","60"
"ELECON ENG. CO. LTD","ELECON","55"
"ELECTROSTEEL CASTINGS LTD","ELECTCAST","35"
"ELGI EQUIPMENTS LTD","ELGIEQUIP","60"
"EMAMI LIMITED","EMAMILTD","60"
"EMBASSY DEVELOPMENTS LTD","EMBDL","55"
"EMCURE PHARMACEUTICALS L","EMCURE","50"
"ELECTRONICS MART IND LTD","EMIL","55"
"EMS LIMITED","EMSLIMITED","60"
"EMUDHRA LIMITED","EMUDHRA","55"
"ENDURANCE TECHNO. LTD.","ENDURANCE","65"
"ENGINEERS INDIA LTD","ENGINERSIN","55"
"ENTERTAIN NET. IND. LTD.","ENIL","50"
"SIEMENS ENERGY INDIA LTD","ENRIN","40"
"ENTERO HEALTHCARE SOLU L","ENTERO","60"
"EPIGRAL LIMITED","EPIGRAL","55"
"EPL LIMITED","EPL","60"
"EQUITAS SMALL FIN BNK LTD","EQUITASBNK","65"
"ERIS LIFESCIENCES LIMITED","ERIS","65"
"ESAB INDIA LTD","ESABINDIA","55"
"ESCORTS KUBOTA LIMITED","ESCORTS","65"
"ESTER INDUSTRIES LTD","ESTER","50"
"ETERNAL LIMITED","ETERNAL","60"
"ETHOS LIMITED","ETHOSLTD","60"
"EUREKA FORBES LIMITED","EUREKAFORB","60"
"EVEREADY INDS. IND.  LTD.","EVEREADY","60"
"EXCEL INDUSTRIES LTD","EXCELINDUS","50"
"EXICOM TELE SYSTEMS LTD","EXICOM","40"
"EXIDE INDUSTRIES LTD","EXIDEIND","65"
"EXPLEO SOLUTIONS LIMITED","EXPLEOSOL","55"
"FACT LTD","FACT","50"
"FINEOTEX CHEMICAL LIMITED","FCL","60"
"FDC LIMITED","FDC","60"
"FEDERAL BANK LTD","FEDERALBNK","70"
"FEDBANK FINANCIAL SER L","FEDFINA","60"
"FIEM INDUSTRIES LIMITED","FIEMIND","55"
"FILATEX INDIA LTD","FILATEX","50"
"FINOLEX CABLES LTD","FINCABLES","60"
"FINE ORGANIC IND. LTD.","FINEORG","60"
"FINO PAYMENTS BANK LTD","FINOPB","50"
"FINOLEX INDUSTRIES LTD","FINPIPE","60"
"BRAINBEES SOLUTIONS LTD","FIRSTCRY","60"
"FIVE-STAR BUS FIN LTD","FIVESTAR","60"
"FLAIR WRITING INDUST LTD","FLAIR","60"
"GUJARAT FLUOROCHEM LTD","FLUOROCHEM","60"
"ICICIPRAMC - ICICIFMCG","FMCGIETF","70"
"FEDERAL-MOGUL GOETZE (IND","FMGOETZE","45"
"FORCE MOTORS LIMITED","FORCEMOT","0"
"FORTIS HEALTHCARE LTD","FORTIS","65"
"FOSECO INDIA LTD","FOSECOIND","50"
"FIRSTSOURCE SOLU. LTD.","FSL","60"
"FUSION FINANCE LIMITED","FUSION","60"
"GABRIEL INDIA LTD","GABRIEL","0"
"GUJARAT AMBUJA EXPORTS LT","GAEL","60"
"GAIL (INDIA) LTD","GAIL","65"
"GALAXY SURFACTANTS LTD","GALAXYSURF","65"
"GALLANTT ISPAT LIMITED","GALLANTT","60"
"GANDHAR OIL REFINE IND L","GANDHAR","50"
"GANESHA ECOSPHERE LIMITED","GANECOS","50"
"GANESH BENZOPLAST LIMITED","GANESHBE","55"
"GANESH HOUSING LIMITED","GANESHHOU","40"
"GARWARE TECH FIBRES LTD","GARFIBRES","55"
"GATEWAY DISTRIPARKS LTD","GATEWAY","55"
"GENESYS INTL CORPN LTD","GENESYS","55"
"GENUS POWER INFRASTRU LTD","GENUSPOWER","50"
"GEOJIT FINANCIAL SER L","GEOJITFSL","50"
"THE GE SHPG.LTD","GESHIP","60"
"GHCL LIMITED","GHCL","60"
"GIC HOUSING FINANCE LTD","GICHSGFIN","55"
"GENERAL INS CORP OF INDIA","GICRE","55"
"GILLETTE INDIA LTD","GILLETTE","65"
"GUJ IND POW CO. LTD","GIPCL","55"
"GLAND PHARMA LIMITED","GLAND","60"
"GLAXOSMITHKLINE PHARMA LT","GLAXO","60"
"GLENMARK PHARMACEUTICALS","GLENMARK","65"
"GLOBUS SPIRITS LTD","GLOBUSSPR","60"
"GUJARAT MINERAL DEV CORP","GMDCLTD","50"
"GMM PFAUDLER LIMITED","GMMPFAUDLR","60"
"GMR AIRPORTS LIMITED","GMRAIRPORT","65"
"GMR POW AND URBAN INFRA L","GMRP&UI","50"
"GUJ NAR VAL FER & CHEM L","GNFC","65"
"GO FASHION INDIA LTD","GOCOLORS","65"
"GODFREY PHILLIPS INDIA LT","GODFRYPHLP","50"
"GO DIGIT GENERAL INS LTD","GODIGIT","65"
"GODREJ AGROVET LIMITED","GODREJAGRO","65"
"GODREJ CONSUMER PRODUCTS","GODREJCP","70"
"GODREJ INDUSTRIES LTD","GODREJIND","60"
"GODREJ PROPERTIES LTD","GODREJPROP","65"
"GOKALDAS EXPORTS LTD.","GOKEX","55"
"GOKUL AGRO RESOURCES LTD","GOKULAGRO","40"
"KOTAK GOLD ETF","GOLD1","0"
"NIP IND ETF GOLD BEES","GOLDBEES","0"
"ZERODHAAMC - GOLDCASE","GOLDCASE","0"
"MIRAEAMC - MAGOLDETF","GOLDETF","0"
"GOLDIAM INTERNATIONAL LTD","GOLDIAM","50"
"ICICI PRUDENTIAL GOLD ETF","GOLDIETF","0"
"UTI GOLD ETF","GOLDSHARE","0"
"GOODLUCK INDIA LIMITED","GOODLUCK","55"
"GOPAL SNACKS LIMITED","GOPAL","50"
"GODAWARI POW & ISP LTD","GPIL","60"
"GUJARAT PIPAVAV PORT LTD","GPPL","60"
"GRANULES INDIA LIMITED","GRANULES","65"
"GRAPHITE INDIA LTD","GRAPHITE","60"
"GRASIM INDUSTRIES LTD","GRASIM","70"
"GRAVITA INDIA LIMITED","GRAVITA","50"
"GREAVES COTTON LTD.","GREAVESCOT","50"
